Variable Name 	Variable Description                                                                                                                                                                                                                                                                	Data File Name 	Data File Description                                                         	Begin Year 	EndYear 	Component  	Use Constraints
PHACOFMN      	The time (in minutes) since the examinee last drank coffee or tea with cream or sugar.                                                                                                                                                                                              	FASTQX_J       	Fasting Questionnaire                                                         	      2017 	   2018 	Laboratory 	None
PHAFSTHR      	The time (in hours) between when the examinee last ate or drank anything other than water and the time of the venipuncture.                                                                                                                                                         	FASTQX_J       	Fasting Questionnaire                                                         	      2017 	   2018 	Laboratory 	None
PHAFSTMN      	The time (in minutes) between when the examinee last ate or drank anything other than water and the time of the venipuncture.                                                                                                                                                       	FASTQX_J       	Fasting Questionnaire                                                         	      2017 	   2018 	Laboratory 	None
PHAGUMHR      	The time (in hours) the examinee last had gum, breath mints, lozenges or cough drops, or other cough or cold remedies.                                                                                                                                                              	FASTQX_J       	Fasting Questionnaire                                                         	      2017 	   2018 	Laboratory 	None
PHAGUMMN      	The time (in minutes) the examinee last had gum, breath mints, lozenges or cough drops, or other cough or cold remedies.                                                                                                                                                            	FASTQX_J       	Fasting Questionnaire                                                         	      2017 	   2018 	Laboratory 	None
PHASUPHR      	The time (in hours) the examinee last had dietary supplements such as vitamins and minerals.                                                                                                                                                                                        	FASTQX_J       	Fasting Questionnaire                                                         	      2017 	   2018 	Laboratory 	None
PHASUPMN      	The time (in minutes) the examinee last had dietary supplements such as vitamins and minerals.                                                                                                                                                                                      	FASTQX_J       	Fasting Questionnaire                                                         	      2017 	   2018 	Laboratory 	None
PHDSESN       	Session in which SP was examined                                                                                                                                                                                                                                                    	FASTQX_J       	Fasting Questionnaire                                                         	      2017 	   2018 	Laboratory 	None
PHQ020        	Coffee or tea with cream or sugar? [Include milk or non-dairy creamers.]                                                                                                                                                                                                            	FASTQX_J       	Fasting Questionnaire                                                         	      2017 	   2018 	Laboratory 	None
PHQ030        	Alcohol, such as beer, wine, or liquor?                                                                                                                                                                                                                                             	FASTQX_J       	Fasting Questionnaire                                                         	      2017 	   2018 	Laboratory 	None
PHQ040        	Gum, breath mints, lozenges or cough drops, or other cough or cold remedies?                                                                                                                                                                                                        	FASTQX_J       	Fasting Questionnaire                                                         	      2017 	   2018 	Laboratory 	None
PHQ050        	Antacids, laxatives, or anti-diarrheals?                                                                                                                                                                                                                                            	FASTQX_J       	Fasting Questionnaire                                                         	      2017 	   2018 	Laboratory 	None
PHQ060        	Dietary supplements such as vitamins and minerals? [Include multivitamins and single nutrient supplements.]                                                                                                                                                                         	FASTQX_J       	Fasting Questionnaire                                                         	      2017 	   2018 	Laboratory 	None
SEQN          	Respondent sequence number.                                                                                                                                                                                                                                                         	FASTQX_J       	Fasting Questionnaire                                                         	      2017 	   2018 	Laboratory 	None
LBXGH         	Glycohemoglobin (%)                                                                                                                                                                                                                                                                 	GHB_J          	Glycohemoglobin                                                               	      2017 	   2018 	Laboratory 	None
SEQN          	Respondent sequence number.                                                                                                                                                                                                                                                         	GHB_J          	Glycohemoglobin                                                               	      2017 	   2018 	Laboratory 	None
SEQN          	Respondent sequence number.                                                                                                                                                                                                                                                         	ALB_CR_J       	Albumin & Creatinine - Urine                                                  	      2017 	   2018 	Laboratory 	None
URDACT        	Albumin creatinine ratio (mg/g)                                                                                                                                                                                                                                                     	ALB_CR_J       	Albumin & Creatinine - Urine                                                  	      2017 	   2018 	Laboratory 	None
URDUCRLC      	Creatinine, urine comment code                                                                                                                                                                                                                                                      	ALB_CR_J       	Albumin & Creatinine - Urine                                                  	      2017 	   2018 	Laboratory 	None
URDUMALC      	Albumin, urine comment code                                                                                                                                                                                                                                                         	ALB_CR_J       	Albumin & Creatinine - Urine                                                  	      2017 	   2018 	Laboratory 	None
URXCRS        	Creatinine, urine (umol/L)                                                                                                                                                                                                                                                          	ALB_CR_J       	Albumin & Creatinine - Urine                                                  	      2017 	   2018 	Laboratory 	None
URXUCR        	Creatinine, urine (mg/dL)                                                                                                                                                                                                                                                           	ALB_CR_J       	Albumin & Creatinine - Urine                                                  	      2017 	   2018 	Laboratory 	None
URXUMA        	Albumin, urine (ug/mL)                                                                                                                                                                                                                                                              	ALB_CR_J       	Albumin & Creatinine - Urine                                                  	      2017 	   2018 	Laboratory 	None
URXUMS        	Albumin, urine (mg/L)                                                                                                                                                                                                                                                               	ALB_CR_J       	Albumin & Creatinine - Urine                                                  	      2017 	   2018 	Laboratory 	None
SEQN          	Respondent sequence number.                                                                                                                                                                                                                                                         	UCPREG_J       	Urine Pregnancy Test                                                          	      2017 	   2018 	Laboratory 	None
URXPREG       	Urine Pregnancy Result                                                                                                                                                                                                                                                              	UCPREG_J       	Urine Pregnancy Test                                                          	      2017 	   2018 	Laboratory 	None
LBXHIV1       	HIV-1 antibody                                                                                                                                                                                                                                                                      	HIV_J          	HIV Antibody Test                                                             	      2017 	   2018 	Laboratory 	None
LBXHIV2       	HIV-2 antibody                                                                                                                                                                                                                                                                      	HIV_J          	HIV Antibody Test                                                             	      2017 	   2018 	Laboratory 	None
LBXHIVC       	HIV-1, 2 Combo Test                                                                                                                                                                                                                                                                 	HIV_J          	HIV Antibody Test                                                             	      2017 	   2018 	Laboratory 	None
LBXHNAT       	HIV Confirmatory Test                                                                                                                                                                                                                                                               	HIV_J          	HIV Antibody Test                                                             	      2017 	   2018 	Laboratory 	None
SEQN          	Respondent sequence number                                                                                                                                                                                                                                                          	HIV_J          	HIV Antibody Test                                                             	      2017 	   2018 	Laboratory 	None
LBXHA         	Hepatitis A antibody                                                                                                                                                                                                                                                                	HEPA_J         	Hepatitis A                                                                   	      2017 	   2018 	Laboratory 	None
SEQN          	Respondent sequence number                                                                                                                                                                                                                                                          	HEPA_J         	Hepatitis A                                                                   	      2017 	   2018 	Laboratory 	None
LBXHBS        	Hepatitis B Surface Antibody                                                                                                                                                                                                                                                        	HEPB_S_J       	Hepatitis B: Surface Antibody                                                 	      2017 	   2018 	Laboratory 	None
SEQN          	Respondent sequence number                                                                                                                                                                                                                                                          	HEPB_S_J       	Hepatitis B: Surface Antibody                                                 	      2017 	   2018 	Laboratory 	None
LBDHBG        	Hepatitis B surface antigen                                                                                                                                                                                                                                                         	HEPBD_J        	Hepatitis B: Core antibody, Surface antigen, and Hepatitis D antibody         	      2017 	   2018 	Laboratory 	None
LBDHD         	Hepatitis D antibody (anti-HDV)                                                                                                                                                                                                                                                     	HEPBD_J        	Hepatitis B: Core antibody, Surface antigen, and Hepatitis D antibody         	      2017 	   2018 	Laboratory 	None
LBXHBC        	Hepatitis B core antibody                                                                                                                                                                                                                                                           	HEPBD_J        	Hepatitis B: Core antibody, Surface antigen, and Hepatitis D antibody         	      2017 	   2018 	Laboratory 	None
SEQN          	Respondent sequence number                                                                                                                                                                                                                                                          	HEPBD_J        	Hepatitis B: Core antibody, Surface antigen, and Hepatitis D antibody         	      2017 	   2018 	Laboratory 	None
LBDHCI        	Hepatitis C Antibody (confirmed)                                                                                                                                                                                                                                                    	HEPC_J         	Hepatitis C: RNA (HCV-RNA), Confirmed Antibody (INNO-LIA), & Genotype         	      2017 	   2018 	Laboratory 	None
LBXHCG        	Hepatitis C Genotype                                                                                                                                                                                                                                                                	HEPC_J         	Hepatitis C: RNA (HCV-RNA), Confirmed Antibody (INNO-LIA), & Genotype         	      2017 	   2018 	Laboratory 	None
LBXHCR        	Hepatitis C RNA                                                                                                                                                                                                                                                                     	HEPC_J         	Hepatitis C: RNA (HCV-RNA), Confirmed Antibody (INNO-LIA), & Genotype         	      2017 	   2018 	Laboratory 	None
SEQN          	Respondent sequence number.                                                                                                                                                                                                                                                         	HEPC_J         	Hepatitis C: RNA (HCV-RNA), Confirmed Antibody (INNO-LIA), & Genotype         	      2017 	   2018 	Laboratory 	None
LBDHEG        	Hepatitis E IgG (anti-HEV)                                                                                                                                                                                                                                                          	HEPE_J         	Hepatitis E: IgG & IgM Antibodies                                             	      2017 	   2018 	Laboratory 	None
LBDHEM        	Hepatitis E IgM (anti-HEV)                                                                                                                                                                                                                                                          	HEPE_J         	Hepatitis E: IgG & IgM Antibodies                                             	      2017 	   2018 	Laboratory 	None
SEQN          	Respondent sequence number                                                                                                                                                                                                                                                          	HEPE_J         	Hepatitis E: IgG & IgM Antibodies                                             	      2017 	   2018 	Laboratory 	None
LBDBANO       	Basophils number (1000 cells/uL)                                                                                                                                                                                                                                                    	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBDEONO       	Eosinophils number (1000 cells/uL)                                                                                                                                                                                                                                                  	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBDLYMNO      	Lymphocyte number (1000 cells/uL)                                                                                                                                                                                                                                                   	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBDMONO       	Monocyte number (1000 cells/uL)                                                                                                                                                                                                                                                     	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBDNENO       	Segmented neutrophils number (1000 cell/uL)                                                                                                                                                                                                                                         	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBXBAPCT      	Basophils percent (%)                                                                                                                                                                                                                                                               	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBXEOPCT      	Eosinophils percent (%)                                                                                                                                                                                                                                                             	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBXHCT        	Hematocrit (%)                                                                                                                                                                                                                                                                      	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBXHGB        	Hemoglobin (g/dL)                                                                                                                                                                                                                                                                   	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBXLYPCT      	Lymphocyte percent (%)                                                                                                                                                                                                                                                              	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBXMC         	Mean cell hemoglobin concentration (g/dL)                                                                                                                                                                                                                                           	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBXMCHSI      	Mean cell hemoglobin (pg)                                                                                                                                                                                                                                                           	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBXMCVSI      	Mean cell volume (fL)                                                                                                                                                                                                                                                               	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBXMOPCT      	Monocyte percent (%)                                                                                                                                                                                                                                                                	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBXMPSI       	Mean platelet volume (fL)                                                                                                                                                                                                                                                           	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBXNEPCT      	Segmented neutrophils percent (%)                                                                                                                                                                                                                                                   	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBXNRBC       	Nucleated red blood cells                                                                                                                                                                                                                                                           	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBXPLTSI      	Platelet count (1000 cells/uL)                                                                                                                                                                                                                                                      	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBXRBCSI      	Red blood cell count (million cells/uL)                                                                                                                                                                                                                                             	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBXRDW        	Red cell distribution width (%)                                                                                                                                                                                                                                                     	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBXWBCSI      	White blood cell count (1000 cells/uL)                                                                                                                                                                                                                                              	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
SEQN          	Respondent sequence number.                                                                                                                                                                                                                                                         	CBC_J          	Complete Blood Count with 5-Part Differential                                 	      2017 	   2018 	Laboratory 	None
LBDHRPLC      	High-Sensitivity C-Reactive Protein (hs-CRP) Comment Code                                                                                                                                                                                                                           	HSCRP_J        	High-Sensitivity C-Reactive Protein                                           	      2017 	   2018 	Laboratory 	None
LBXHSCRP      	High-Sensitivity C-Reactive Protein (hs-CRP) (mg/L)                                                                                                                                                                                                                                 	HSCRP_J        	High-Sensitivity C-Reactive Protein                                           	      2017 	   2018 	Laboratory 	None
SEQN          	Respondent Sequence Number                                                                                                                                                                                                                                                          	HSCRP_J        	High-Sensitivity C-Reactive Protein                                           	      2017 	   2018 	Laboratory 	None
LBDTCSI       	Total Cholesterol (mmol/L)                                                                                                                                                                                                                                                          	TCHOL_J        	Cholesterol - Total                                                           	      2017 	   2018 	Laboratory 	None
LBXTC         	Total Cholesterol (mg/dL)                                                                                                                                                                                                                                                           	TCHOL_J        	Cholesterol - Total                                                           	      2017 	   2018 	Laboratory 	None
SEQN          	Respondent Sequence Number                                                                                                                                                                                                                                                          	TCHOL_J        	Cholesterol - Total                                                           	      2017 	   2018 	Laboratory 	None
LBDHDD        	Direct HDL-Cholesterol (mg/dL)                                                                                                                                                                                                                                                      	HDL_J          	Cholesterol - High - Density Lipoprotein (HDL)                                	      2017 	   2018 	Laboratory 	None
LBDHDDSI      	Direct HDL-Cholesterol (mmol/L)                                                                                                                                                                                                                                                     	HDL_J          	Cholesterol - High - Density Lipoprotein (HDL)                                	      2017 	   2018 	Laboratory 	None
SEQN          	Respondent Sequence Number                                                                                                                                                                                                                                                          	HDL_J          	Cholesterol - High - Density Lipoprotein (HDL)                                	      2017 	   2018 	Laboratory 	None
LBDSALSI      	Albumin, refrigerated serum(g/L)                                                                                                                                                                                                                                                    	BIOPRO_J       	Standard Biochemistry Profile                                                 	      2017 	   2018 	Laboratory 	None
LBDSATLC      	Alanine Aminotransferase (ALT) Comment Code                                                                                                                                                                                                                                         	BIOPRO_J       	Standard Biochemistry Profile                                                 	      2017 	   2018 	Laboratory 	None
LBDSBUSI      	Blood Urea Nitrogen (mmol/L)                                                                                                                                                                                                                                                        	BIOPRO_J       	Standard Biochemistry Profile                                                 	      2017 	   2018 	Laboratory 	None
LBDSCASI      	Total Calcium (mmol/L)                                                                                                                                                                                                                                                              	BIOPRO_J       	Standard Biochemistry Profile                                                 	      2017 	   2018 	Laboratory 	None
LBDSCHSI      	Total Cholesterol, refrigerated serum (mmol/L)                                                                                                                                                                                                                                      	BIOPRO_J       	Standard Biochemistry Profile                                                 	      2017 	   2018 	Laboratory 	None
LBDSCRSI      	Creatinine, refrigerated serum (umol/L)                                                                                                                                                                                                                                             	BIOPRO_J       	Standard Biochemistry Profile                                                 	      2017 	   2018 	Laboratory 	None
LBDSGBSI      	Globulin (g/L)                                                                                                                                                                                                                                                                      	BIOPRO_J       	Standard Biochemistry Profile                                                 	      2017 	   2018 	Laboratory 	None
LBDSGLSI      	Glucose, refrigerated serum (mmol/L)                                                                                                                                                                                                                                                	BIOPRO_J       	Standard Biochemistry Profile                                                 	      2017 	   2018 	Laboratory 	None
LBDSGTLC      	Gamma Glutamyl Transferase (GGT) Comment Code                                                                                                                                                                                                                                       	BIOPRO_J       	Standard Biochemistry Profile                                                 	      2017 	   2018 	Laboratory 	None
LBDSIRSI      	Iron, refrigerated serum (umol/L)                                                                                                                                                                                                                                                   	BIOPRO_J       	Standard Biochemistry Profile                                                 	      2017 	   2018 	Laboratory 	None
LBDSPHSI      	Phosphorus (mmol/L)                                                                                                                                                                                                                                                                 	BIOPRO_J       	Standard Biochemistry Profile                                                 	      2017 	   2018 	Laboratory 	None
LBDSTBLC      	Total Bilirubin Comment Code                                                                                                                                                                                                                                                        	BIOPRO_J       	Standard Biochemistry Profile                                                 	      2017 	   2018 	Laboratory 	None
LBDSTBSI      	Total Bilirubin (umol/L)                                                                                                                                                                                                                                                            	BIOPRO_J       	Standard Biochemistry Profile                                                 	      2017 	   2018 	Laboratory 	None
