table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts)				
Annual Estimates of the Resident Population for Counties in the United States: April 1, 2020 to July 1, 2022				
Geographic Area	April 1, 2020 Estimates Base	Population Estimate (as of July 1)		
.Hale County, Alabama	14,786	14,768	14,737	14,595
.Henry County, Alabama	17,148	17,175	17,434	17,655
.Houston County, Alabama	107,204	107,286	107,453	108,079
.Jackson County, Alabama	52,582	52,545	52,694	52,891
.Jefferson County, Alabama	674,355	674,675	669,997	665,409
.Lamar County, Alabama	13,976	13,956	13,740	13,705
.Lauderdale County, Alabama	93,565	94,025	94,862	95,878
.Lawrence County, Alabama	33,077	33,089	33,123	33,214
.Lee County, Alabama	174,244	174,742	177,655	180,773
.Limestone County, Alabama	103,563	104,190	107,381	110,900
.Lowndes County, Alabama	10,310	10,273	9,926	9,777
.Macon County, Alabama	19,534	19,473	18,906	18,516
.Madison County, Alabama	388,160	390,502	396,593	403,565
.Marengo County, Alabama	19,324	19,266	18,961	18,745
.Marion County, Alabama	29,341	29,166	29,006	29,156
.Marshall County, Alabama	97,611	97,696	98,316	99,423
.Mobile County, Alabama	414,812	414,353	413,017	411,411
.Monroe County, Alabama	19,770	19,704	19,557	19,404
.Montgomery County, Alabama	228,948	228,322	226,953	226,361
.Morgan County, Alabama	123,421	123,288	123,403	124,211
.Perry County, Alabama	8,515	8,458	8,317	8,035
.Pickens County, Alabama	19,124	18,922	18,615	18,697
.Pike County, Alabama	33,008	32,906	32,740	33,014
.Randolph County, Alabama	21,970	22,092	22,199	22,479
.Russell County, Alabama	59,187	59,259	58,668	58,555
.St. Clair County, Alabama	91,471	91,652	92,903	93,932
.Shelby County, Alabama	223,034	223,881	227,428	230,115
.Sumter County, Alabama	12,348	12,196	11,961	11,853
.Talladega County, Alabama	82,152	81,428	80,483	80,704
.Tallapoosa County, Alabama	41,316	41,286	41,132	40,977
.Tuscaloosa County, Alabama	227,041	231,534	235,668	236,780
.Walker County, Alabama	65,342	65,132	64,629	64,339
.Washington County, Alabama	15,388	15,327	15,234	15,122
.Wilcox County, Alabama	10,601	10,432	10,331	10,059
.Winston County, Alabama	23,544	23,488	23,672	23,755
.Aleutians East Borough, Alaska	3,419	3,425	3,424	3,398
.Aleutians West Census Area, Alaska	5,232	5,222	5,155	5,122
.Anchorage Municipality, Alaska	291,244	290,866	288,702	287,145
.Bethel Census Area, Alaska	18,670	18,673	18,599	18,257
.Bristol Bay Borough, Alaska	843	829	841	865
.Chugach Census Area, Alaska	7,097	7,077	6,943	6,874
.Copper River Census Area, Alaska	2,618	2,616	2,611	2,589
.Denali Borough, Alaska	1,624	1,614	1,594	1,585
.Dillingham Census Area, Alaska	4,853	4,835	4,774	4,723
.Fairbanks North Star Borough, Alaska	95,657	95,328	95,528	95,356
.Haines Borough, Alaska	2,080	2,086	2,074	2,056
.Hoonah-Angoon Census Area, Alaska	2,364	2,362	2,339	2,287
.Juneau City and Borough, Alaska	32,255	32,202	31,965	31,685
.Kenai Peninsula Borough, Alaska	58,789	58,927	59,851	60,690
.Ketchikan Gateway Borough, Alaska	13,957	13,918	13,810	13,741
.Kodiak Island Borough, Alaska	13,101	13,047	12,864	12,720
.Kusilvak Census Area, Alaska	8,372	8,373	8,398	8,278
.Lake and Peninsula Borough, Alaska	1,476	1,452	1,419	1,381
.Matanuska-Susitna Borough, Alaska	107,082	107,515	111,059	113,325
.Nome Census Area, Alaska	10,049	10,028	9,908	9,835
.North Slope Borough, Alaska	11,030	11,002	11,011	10,805
.Northwest Arctic Borough, Alaska	7,790	7,790	7,560	7,423
.Petersburg Borough, Alaska	3,399	3,405	3,373	3,360
.Prince of Wales-Hyder Census Area, Alaska	5,753	5,739	5,734	5,650
.Sitka City and Borough, Alaska	8,448	8,425	8,410	8,382
.Skagway Municipality, Alaska	1,242	1,240	1,142	1,081
.Southeast Fairbanks Census Area, Alaska	6,805	6,820	7,005	7,021
.Wrangell City and Borough, Alaska	2,126	2,127	2,100	2,070
.Yakutat City and Borough, Alaska	664	684	709	700
.Yukon-Koyukuk Census Area, Alaska	5,339	5,296	5,280	5,179
.Apache County, Arizona	66,024	65,911	65,385	65,432
.Cochise County, Arizona	125,448	125,522	125,763	125,663
.Coconino County, Arizona	145,100	145,180	142,780	144,060
.Gila County, Arizona	53,273	53,351	53,521	53,922
.Graham County, Arizona	38,533	38,638	38,882	38,779
.Greenlee County, Arizona	9,561	9,526	9,377	9,302
.La Paz County, Arizona	16,555	16,575	16,391	16,506
.Maricopa County, Arizona	4,420,574	4,440,232	4,494,693	4,551,524
.Mohave County, Arizona	213,269	214,176	216,957	220,816
.Navajo County, Arizona	106,716	106,762	107,621	108,650
.Pima County, Arizona	1,043,434	1,045,175	1,048,895	1,057,597
.Pinal County, Arizona	425,257	429,446	448,144	464,154
.Santa Cruz County, Arizona	47,665	47,705	48,034	48,759
.Yavapai County, Arizona	236,218	237,216	242,193	246,191
.Yuma County, Arizona	203,880	204,528	206,241	207,842
.Arkansas County, Arkansas	17,150	17,107	16,683	16,512
.Ashley County, Arkansas	19,064	18,962	18,649	18,354
.Baxter County, Arkansas	41,633	41,687	42,171	42,435
.Benton County, Arkansas	284,329	286,586	294,337	302,863
.Boone County, Arkansas	37,372	37,383	37,890	38,284
.Bradley County, Arkansas	10,540	10,488	10,332	10,135
.Calhoun County, Arkansas	4,742	4,738	4,737	4,695
.Carroll County, Arkansas	28,260	28,242	28,480	28,742
.Chicot County, Arkansas	10,212	10,157	10,071	9,873
.Clark County, Arkansas	21,447	21,387	21,217	21,250
.Clay County, Arkansas	14,548	14,528	14,370	14,265
.Cleburne County, Arkansas	24,705	24,696	25,044	25,284
.Cleveland County, Arkansas	7,548	7,550	7,490	7,467
.Columbia County, Arkansas	22,798	22,742	22,510	22,216
.Conway County, Arkansas	20,709	20,729	20,911	21,046
.Craighead County, Arkansas	111,233	111,603	111,788	113,017
.Crawford County, Arkansas	60,130	60,147	60,423	61,075
.Crittenden County, Arkansas	48,169	48,086	47,475	47,061
.Cross County, Arkansas	16,830	16,796	16,693	16,601
.Dallas County, Arkansas	6,479	6,442	6,306	6,191
.Desha County, Arkansas	11,395	11,320	11,050	10,771
.Drew County, Arkansas	17,348	17,314	17,070	16,911
.Faulkner County, Arkansas	123,498	123,811	125,645	127,665
.Franklin County, Arkansas	17,101	17,135	17,166	17,271
.Fulton County, Arkansas	12,077	12,057	12,156	12,382
.Garland County, Arkansas	100,172	100,249	100,386	100,089
.Grant County, Arkansas	17,966	18,022	18,149	18,160
.Greene County, Arkansas	45,740	45,864	46,349	46,448
.Hempstead County, Arkansas	20,062	19,981	19,679	19,453
.Hot Spring County, Arkansas	33,046	33,075	33,108	33,203
.Howard County, Arkansas	12,784	12,755	12,676	12,557
.Independence County, Arkansas	37,931	37,936	37,742	37,945
.Izard County, Arkansas	13,574	13,597	13,928	14,048
.Jackson County, Arkansas	16,760	16,755	16,780	16,624
.Jefferson County, Arkansas	67,261	66,833	65,649	64,246
.Johnson County, Arkansas	25,749	25,722	25,977	26,001
.Lafayette County, Arkansas	6,311	6,299	6,155	6,101
.Lawrence County, Arkansas	16,216	16,212	16,316	16,205
.Lee County, Arkansas	8,597	8,528	8,559	8,364
.Lincoln County, Arkansas	12,936	12,889	13,151	12,916
.Little River County, Arkansas	12,028	11,975	11,954	11,821
.Logan County, Arkansas	21,132	21,103	21,207	21,253
.Lonoke County, Arkansas	74,010	74,046	74,766	75,225
.Madison County, Arkansas	16,521	16,546	16,936	17,486
.Marion County, Arkansas	16,832	16,877	16,970	17,254
.Miller County, Arkansas	42,595	42,579	42,499	42,552
.Mississippi County, Arkansas	40,692	40,544	39,577	38,896
.Monroe County, Arkansas	6,799	6,774	6,660	6,564
.Montgomery County, Arkansas	8,486	8,488	8,638	8,556
.Nevada County, Arkansas	8,315	8,285	8,195	8,181
.Newton County, Arkansas	7,225	7,193	7,164	7,078
.Ouachita County, Arkansas	22,648	22,614	22,344	22,049
.Perry County, Arkansas	10,021	10,000	9,989	10,063
.Phillips County, Arkansas	16,576	16,443	15,822	15,304
.Pike County, Arkansas	10,180	10,172	10,121	10,179
.Poinsett County, Arkansas	22,965	22,952	22,730	22,495
.Polk County, Arkansas	19,223	19,187	19,331	19,337
.Pope County, Arkansas	63,385	63,403	63,756	64,065
.Prairie County, Arkansas	8,284	8,246	8,094	8,069
.Pulaski County, Arkansas	399,117	399,246	398,069	399,145
.Randolph County, Arkansas	18,571	18,590	18,842	18,837
.St. Francis County, Arkansas	23,089	23,013	22,701	22,451
.Saline County, Arkansas	123,424	123,815	125,319	127,357
.Scott County, Arkansas	9,833	9,828	9,795	9,805
.Searcy County, Arkansas	7,831	7,842	7,880	7,918
.Sebastian County, Arkansas	127,800	127,800	128,425	129,059
.Sevier County, Arkansas	15,844	15,779	15,709	15,686
.Sharp County, Arkansas	17,280	17,319	17,660	17,810
.Stone County, Arkansas	12,358	12,350	12,432	12,575
.Union County, Arkansas	39,049	38,926	38,364	37,752
.Van Buren County, Arkansas	15,797	15,801	15,751	16,102
.Washington County, Arkansas	245,866	246,756	251,692	256,054
.White County, Arkansas	76,822	76,851	77,157	77,755
.Woodruff County, Arkansas	6,276	6,228	6,153	6,049
.Yell County, Arkansas	20,259	20,214	20,152	20,129
.Alameda County, California	1,682,331	1,680,380	1,643,837	1,628,997
.Alpine County, California	1,201	1,204	1,235	1,190
.Amador County, California	40,474	40,532	41,144	41,412
.Butte County, California	211,631	210,135	206,190	207,303
.Calaveras County, California	45,285	45,346	46,219	46,563
.Colusa County, California	21,837	21,858	21,913	21,914
.Contra Costa County, California	1,165,927	1,165,986	1,163,298	1,156,966
.Del Norte County, California	27,745	27,601	27,553	27,082
.El Dorado County, California	191,184	191,220	193,590	192,646
.Fresno County, California	1,008,650	1,009,503	1,012,992	1,015,190
.Glenn County, California	28,915	28,896	28,664	28,339
.Humboldt County, California	136,465	136,261	134,836	135,010
.Imperial County, California	179,709	179,595	179,215	178,713
.Inyo County, California	19,025	19,001	18,927	18,718
.Kern County, California	909,244	905,828	912,351	916,108
.Kings County, California	152,488	152,790	152,679	152,981
.Lake County, California	68,158	68,195	68,584	68,191
.Lassen County, California	32,730	32,317	31,813	29,904
.Los Angeles County, California	10,014,042	9,992,236	9,811,842	9,721,138
.Madera County, California	156,259	156,343	158,910	160,256
.Marin County, California	262,318	261,282	259,162	256,018
.Mariposa County, California	17,128	17,118	17,107	17,020
.Mendocino County, California	91,595	91,361	91,003	89,783
.Merced County, California	281,202	281,814	284,458	290,014
.Modoc County, California	8,700	8,663	8,571	8,511
.Mono County, California	13,198	13,226	13,261	12,978
.Monterey County, California	439,036	438,390	437,249	432,858
.Napa County, California	138,024	137,485	136,206	134,300
.Nevada County, California	102,235	102,249	103,457	102,293
.Orange County, California	3,186,979	3,185,516	3,161,005	3,151,184
.Placer County, California	404,740	405,889	412,789	417,772
.Plumas County, California	19,796	19,749	19,940	19,351
.Riverside County, California	2,418,177	2,422,847	2,453,178	2,473,902
.Sacramento County, California	1,585,046	1,586,465	1,588,106	1,584,169
.San Benito County, California	64,207	64,521	66,675	67,579
.San Bernardino County, California	2,181,662	2,183,239	2,192,882	2,193,656
.San Diego County, California	3,298,635	3,296,045	3,274,954	3,276,208
.San Francisco County, California	873,959	870,393	811,253	808,437
.San Joaquin County, California	779,227	780,558	788,140	793,229
.San Luis Obispo County, California	282,443	281,879	279,298	282,013
.San Mateo County, California	764,432	762,511	739,060	729,181
.Santa Barbara County, California	448,217	448,244	437,434	443,837
.Santa Clara County, California	1,936,274	1,931,026	1,886,595	1,870,945
.Santa Cruz County, California	270,869	270,462	260,495	264,370
.Shasta County, California	182,152	181,984	181,981	180,930
.Sierra County, California	3,234	3,228	3,295	3,217
.Siskiyou County, California	44,075	43,991	44,026	43,660
.Solano County, California	453,490	452,698	450,350	448,747
.Sonoma County, California	488,875	488,281	484,315	482,650
.Stanislaus County, California	552,880	553,217	552,851	551,275
.Sutter County, California	99,631	99,464	99,038	98,503
.Tehama County, California	65,831	65,682	65,380	65,245
.Trinity County, California	16,112	16,089	16,061	15,781
.Tulare County, California	473,117	473,891	476,946	477,544
.Tuolumne County, California	55,623	55,374	55,065	54,531
.Ventura County, California	843,843	843,310	839,358	832,605
.Yolo County, California	216,405	216,291	213,039	222,115
.Yuba County, California	81,578	81,994	83,216	84,310
.Adams County, Colorado	519,582	520,479	523,592	527,575
.Alamosa County, Colorado	16,381	16,377	16,563	16,592
.Arapahoe County, Colorado	655,058	655,207	656,557	655,808
.Archuleta County, Colorado	13,356	13,425	13,798	14,003
.Baca County, Colorado	3,510	3,482	3,487	3,432
.Bent County, Colorado	5,651	5,478	5,337	5,399
.Boulder County, Colorado	330,764	330,922	327,075	327,468
.Broomfield County, Colorado	74,105	74,484	75,375	76,121
.Chaffee County, Colorado	19,473	19,477	19,711	20,223
.Cheyenne County, Colorado	1,748	1,744	1,716	1,732
.Clear Creek County, Colorado	9,394	9,393	9,445	9,355
.Conejos County, Colorado	7,467	7,458	7,578	7,579
.Costilla County, Colorado	3,496	3,501	3,595	3,603
.Crowley County, Colorado	5,919	5,694	5,731	5,614
.Custer County, Colorado	4,703	4,719	5,064	5,335
.Delta County, Colorado	31,199	31,051	31,383	31,602
.Denver County, Colorado	715,538	717,556	711,323	713,252
.Dolores County, Colorado	2,326	2,332	2,370	2,455
.Douglas County, Colorado	357,998	360,303	369,825	375,988
.Eagle County, Colorado	55,730	55,665	55,773	55,285
.Elbert County, Colorado	26,049	26,207	27,133	27,799
.El Paso County, Colorado	730,402	732,342	737,228	740,567
.Fremont County, Colorado	48,938	48,878	49,234	49,621
.Garfield County, Colorado	61,688	61,792	62,195	62,271
.Gilpin County, Colorado	5,810	5,824	5,899	5,891
.Grand County, Colorado	15,717	15,748	15,870	15,769
.Gunnison County, Colorado	16,917	16,945	17,309	17,267
.Hinsdale County, Colorado	784	788	773	775
.Huerfano County, Colorado	6,816	6,827	6,922	7,082
.Jackson County, Colorado	1,379	1,378	1,357	1,302
.Jefferson County, Colorado	582,902	583,050	580,926	576,143
.Kiowa County, Colorado	1,445	1,452	1,446	1,424
.Kit Carson County, Colorado	7,086	7,066	6,936	6,961
.Lake County, Colorado	7,428	7,404	7,397	7,327
.La Plata County, Colorado	55,639	55,675	56,187	56,607
.Larimer County, Colorado	359,066	359,899	362,713	366,778
.Las Animas County, Colorado	14,557	14,482	14,318	14,327
.Lincoln County, Colorado	5,677	5,665	5,477	5,510
.Logan County, Colorado	21,527	21,204	21,122	20,823
.Mesa County, Colorado	155,710	156,005	157,434	158,636
.Mineral County, Colorado	865	871	929	931
.Moffat County, Colorado	13,291	13,264	13,155	13,177
.Montezuma County, Colorado	25,846	25,883	26,216	26,468
.Montrose County, Colorado	42,680	42,817	43,230	43,811
.Morgan County, Colorado	29,106	29,072	28,995	29,239
.Otero County, Colorado	18,692	18,667	18,536	18,303
.Ouray County, Colorado	4,880	4,881	5,059	5,100
.Park County, Colorado	17,395	17,419	17,758	17,939
.Phillips County, Colorado	4,537	4,531	4,508	4,449
.Pitkin County, Colorado	17,358	17,354	17,350	16,876
.Prowers County, Colorado	11,995	12,010	11,994	11,854
.Pueblo County, Colorado	168,168	168,325	169,332	169,544
.Rio Blanco County, Colorado	6,531	6,524	6,453	6,569
.Rio Grande County, Colorado	11,539	11,538	11,388	11,325
.Routt County, Colorado	24,824	24,829	25,056	25,007
.Saguache County, Colorado	6,372	6,393	6,505	6,623
.San Juan County, Colorado	703	710	740	803
.San Miguel County, Colorado	8,071	8,054	8,074	8,003
.Sedgwick County, Colorado	2,402	2,390	2,331	2,295
.Summit County, Colorado	31,052	30,994	30,971	30,565
.Teller County, Colorado	24,711	24,747	24,939	24,857
.Washington County, Colorado	4,814	4,808	4,850	4,812
.Weld County, Colorado	328,976	331,427	339,811	350,176
.Yuma County, Colorado	9,990	9,979	9,943	9,899
.Capitol Planning Region, Connecticut	976,269	973,159	980,757	981,447
.Greater Bridgeport Planning Region, Connecticut	325,777	324,932	327,229	327,286
.Lower Connecticut River Valley Planning Region, Connecticut	174,221	173,927	176,095	176,622
.Naugatuck Valley Planning Region, Connecticut	450,447	449,896	452,894	454,083
.Northeastern Connecticut Planning Region, Connecticut	95,344	95,274	95,708	96,196
.Northwest Hills Planning Region, Connecticut	112,456	112,269	112,974	113,234
.South Central Connecticut Planning Region, Connecticut	570,453	569,237	573,562	573,244
.Southeastern Connecticut Planning Region, Connecticut	280,444	279,522	280,117	280,403
.Western Connecticut Planning Region, Connecticut	620,531	619,146	624,019	623,690
.Kent County, Delaware	181,856	182,362	184,371	186,946
.New Castle County, Delaware	570,721	570,873	572,714	575,494
.Sussex County, Delaware	237,380	238,879	247,722	255,956
.District of Columbia, District of Columbia	689,546	670,868	668,791	671,803
.Alachua County, Florida	278,475	279,742	281,817	284,030
.Baker County, Florida	28,263	28,115	28,673	27,803
.Bay County, Florida	175,204	174,506	179,498	185,134
.Bradford County, Florida	28,306	28,224	28,050	27,313
.Brevard County, Florida	606,603	608,713	617,742	630,693
.Broward County, Florida	1,944,376	1,943,266	1,935,729	1,947,026
.Calhoun County, Florida	13,644	13,703	13,514	13,464
.Charlotte County, Florida	186,850	188,013	194,934	202,661
.Citrus County, Florida	153,855	154,565	158,113	162,529
.Clay County, Florida	218,250	218,933	222,533	226,589
.Collier County, Florida	375,760	377,293	387,241	397,994
.Columbia County, Florida	69,701	69,737	69,902	71,908
.DeSoto County, Florida	33,975	34,087	34,340	35,312
.Dixie County, Florida	16,758	16,690	16,905	17,124
.Duval County, Florida	995,560	997,604	1,002,252	1,016,536
.Escambia County, Florida	321,897	322,551	323,480	324,878
.Flagler County, Florida	115,383	116,030	120,904	126,705
.Franklin County, Florida	12,452	12,463	12,175	12,498
.Gadsden County, Florida	43,820	43,402	43,554	43,403
.Gilchrist County, Florida	17,862	17,883	18,306	18,992
.Glades County, Florida	12,127	12,068	12,268	12,454
.Gulf County, Florida	14,200	14,264	14,452	15,314
.Hamilton County, Florida	14,006	13,733	13,082	13,217
.Hardee County, Florida	25,326	25,331	25,307	25,645
.Hendry County, Florida	39,626	39,725	40,212	41,339
.Hernando County, Florida	194,515	195,627	200,649	206,896
.Highlands County, Florida	101,238	101,345	103,295	105,618
.Hillsborough County, Florida	1,459,773	1,466,160	1,484,455	1,513,301
.Holmes County, Florida	19,657	19,569	19,295	19,651
.Indian River County, Florida	159,789	160,439	163,814	167,352
.Jackson County, Florida	47,309	47,079	47,154	48,211
.Jefferson County, Florida	14,507	14,390	14,476	15,042
.Lafayette County, Florida	8,225	8,214	7,958	7,786
.Lake County, Florida	383,959	386,194	396,242	410,139
.Lee County, Florida	760,820	765,504	790,676	822,453
.Leon County, Florida	292,203	293,948	296,081	297,369
.Levy County, Florida	42,912	43,059	44,158	45,260
.Liberty County, Florida	7,976	7,805	7,308	7,603
.Madison County, Florida	17,970	17,866	18,069	18,198
.Manatee County, Florida	399,705	401,593	413,474	429,125
.Marion County, Florida	375,906	377,459	385,084	396,415
.Martin County, Florida	158,435	158,658	160,249	162,006
.Miami-Dade County, Florida	2,701,762	2,695,501	2,670,421	2,673,837
.Monroe County, Florida	82,879	82,852	82,265	81,708
.Nassau County, Florida	90,355	91,027	94,393	97,899
.Okaloosa County, Florida	211,664	212,071	213,647	216,482
.Okeechobee County, Florida	39,636	39,642	40,044	40,412
.Orange County, Florida	1,429,901	1,431,573	1,427,928	1,452,726
.Osceola County, Florida	388,664	391,118	404,020	422,545
.Palm Beach County, Florida	1,492,198	1,494,173	1,503,223	1,518,477
.Pasco County, Florida	561,897	566,126	584,927	608,794
.Pinellas County, Florida	959,103	959,465	959,046	961,739
.Polk County, Florida	725,041	730,111	755,179	787,404
.Putnam County, Florida	73,327	73,376	74,059	74,731
.St. Johns County, Florida	273,427	277,085	293,175	306,841
.St. Lucie County, Florida	329,227	331,428	344,283	358,704
.Santa Rosa County, Florida	187,991	188,989	193,783	198,268
.Sarasota County, Florida	434,005	436,207	448,550	462,286
.Seminole County, Florida	470,855	471,428	471,009	478,772
.Sumter County, Florida	129,751	130,298	134,867	144,970
.Suwannee County, Florida	43,472	43,517	44,092	45,411
.Taylor County, Florida	21,800	21,739	20,786	21,283
.Union County, Florida	16,138	15,417	15,825	15,460
.Volusia County, Florida	553,561	555,764	565,988	579,192
.Wakulla County, Florida	33,766	33,895	34,274	35,178
.Walton County, Florida	75,306	75,937	79,988	83,304
.Washington County, Florida	25,322	25,313	24,877	25,414
.Appling County, Georgia	18,440	18,366	18,411	18,428
.Atkinson County, Georgia	8,289	8,311	8,358	8,183
.Bacon County, Georgia	11,140	11,108	11,071	11,191
.Baker County, Georgia	2,875	2,851	2,827	2,788
.Baldwin County, Georgia	43,795	43,794	43,671	43,635
.Banks County, Georgia	18,037	18,082	18,538	19,328
.Barrow County, Georgia	83,507	83,975	86,672	89,299
.Bartow County, Georgia	108,888	109,296	110,901	112,816
.Ben Hill County, Georgia	17,195	17,168	17,152	17,069
.Berrien County, Georgia	18,166	18,148	18,128	18,214
.Bibb County, Georgia	157,347	157,025	155,985	156,197
.Bleckley County, Georgia	12,585	12,524	12,255	12,257
.Brantley County, Georgia	18,021	18,043	18,121	18,183
.Brooks County, Georgia	16,299	16,268	16,285	16,253
.Bryan County, Georgia	44,739	45,035	46,963	48,225
.Bulloch County, Georgia	79,647	79,918	80,637	83,059
.Burke County, Georgia	24,594	24,633	24,333	24,388
.Butts County, Georgia	25,440	25,551	26,114	26,649
.Calhoun County, Georgia	5,576	5,573	5,534	5,469
.Camden County, Georgia	54,769	54,925	55,754	57,013
.Candler County, Georgia	10,990	11,022	11,000	11,000
.Carroll County, Georgia	119,141	119,484	121,592	124,592
.Catoosa County, Georgia	67,873	68,006	68,420	68,826
.Charlton County, Georgia	12,518	12,532	12,813	12,781
.Chatham County, Georgia	295,280	295,064	295,656	301,107
.Chattahoochee County, Georgia	9,568	9,481	9,044	8,819
.Chattooga County, Georgia	24,969	24,922	24,828	24,936
.Cherokee County, Georgia	266,625	268,175	274,839	281,278
.Clarke County, Georgia	128,671	128,550	129,185	129,875
.Clay County, Georgia	2,847	2,830	2,859	2,845
.Clayton County, Georgia	297,608	297,623	297,318	296,564
.Clinch County, Georgia	6,746	6,725	6,698	6,662
.Cobb County, Georgia	766,160	766,374	766,691	771,952
.Coffee County, Georgia	43,088	43,052	42,997	43,172
.Colquitt County, Georgia	45,902	45,900	45,757	45,762
.Columbia County, Georgia	156,010	156,849	159,636	162,419
.Cook County, Georgia	17,230	17,234	17,266	17,404
.Coweta County, Georgia	146,154	146,725	149,925	152,882
.Crawford County, Georgia	12,130	12,103	12,139	12,140
.Crisp County, Georgia	20,127	20,050	20,024	19,708
.Dade County, Georgia	16,246	16,235	16,230	16,081
.Dawson County, Georgia	26,796	27,056	28,475	30,138
.Decatur County, Georgia	29,369	29,324	29,045	28,982
.DeKalb County, Georgia	764,386	764,420	759,231	762,820
.Dodge County, Georgia	19,929	19,874	19,675	19,802
.Dooly County, Georgia	11,212	11,165	10,881	10,572
.Dougherty County, Georgia	85,790	85,153	82,267	82,966
.Douglas County, Georgia	144,227	144,552	145,628	147,316
.Early County, Georgia	10,855	10,799	10,651	10,574
.Echols County, Georgia	3,703	3,720	3,708	3,686
.Effingham County, Georgia	64,768	65,158	66,746	69,041
.Elbert County, Georgia	19,638	19,667	19,554	19,814
.Emanuel County, Georgia	22,769	22,887	22,887	22,929
.Evans County, Georgia	10,772	10,790	10,711	10,695
.Fannin County, Georgia	25,319	25,434	25,763	25,737
.Fayette County, Georgia	119,186	119,483	120,681	122,030
.Floyd County, Georgia	98,586	98,575	98,499	99,443
.Forsyth County, Georgia	251,283	252,878	260,721	267,237
.Franklin County, Georgia	23,424	23,468	23,503	24,128
.Fulton County, Georgia	1,066,702	1,069,370	1,062,531	1,074,634
.Gilmer County, Georgia	31,354	31,428	32,090	32,407
.Glascock County, Georgia	2,882	2,894	2,906	2,939
.Glynn County, Georgia	84,497	84,471	84,705	85,079
.Gordon County, Georgia	57,543	57,716	58,253	58,954
.Grady County, Georgia	26,237	26,222	25,879	26,008
.Greene County, Georgia	18,907	19,021	19,553	20,139
.Gwinnett County, Georgia	957,027	958,005	965,145	975,353
.Habersham County, Georgia	46,033	46,138	46,740	47,475
.Hall County, Georgia	203,166	203,735	207,393	212,692
.Hancock County, Georgia	8,733	8,708	8,664	8,387
.Haralson County, Georgia	29,920	30,037	30,579	31,337
.Harris County, Georgia	34,669	34,896	35,605	36,276
.Hart County, Georgia	25,824	25,871	26,340	26,909
.Heard County, Georgia	11,414	11,448	11,529	11,725
.Henry County, Georgia	240,719	241,848	245,023	248,364
.Houston County, Georgia	163,641	164,343	167,156	169,631
.Irwin County, Georgia	9,667	9,650	9,375	9,126
.Jackson County, Georgia	75,904	76,717	80,317	83,936
.Jasper County, Georgia	14,595	14,666	15,259	15,951
.Jeff Davis County, Georgia	14,778	14,799	14,848	14,889
.Jefferson County, Georgia	15,714	15,678	15,494	15,314
.Jenkins County, Georgia	8,678	8,666	8,776	8,689
.Johnson County, Georgia	9,192	9,186	9,034	9,242
.Jones County, Georgia	28,351	28,397	28,409	28,472
.Lamar County, Georgia	18,500	18,551	18,684	19,467
.Lanier County, Georgia	9,880	9,926	10,052	10,171
.Laurens County, Georgia	49,581	49,544	49,527	49,660
.Lee County, Georgia	33,162	33,215	33,194	33,642
.Liberty County, Georgia	65,274	65,317	66,844	68,030
.Lincoln County, Georgia	7,688	7,701	7,750	7,841
.Long County, Georgia	16,158	16,269	17,089	18,348
.Lowndes County, Georgia	118,249	118,415	118,914	119,739
.Lumpkin County, Georgia	33,487	33,631	32,890	34,796
